No.,Mismatch
1148,126.89658333148209
1149,124.81443518657163
1150,125.83802126243849
1151,126.49157764308053
1152,125.00701725249293
1153,124.07051577405772
1154,126.71520474633756
1155,128.65511624821397
1156,129.47286946184772
1157,128.9152642810404
1158,128.70918559242128
1159,129.33155499794677
1160,124.69997449701447
1161,124.68867075701837
1162,124.54337962339707
1163,127.00795874469937
1164,124.15099621494375
1165,123.42931975782726
1166,124.90717738422312
1167,125.63314301335652
1168,123.71124026413135
1169,123.70580875104328
1170,122.56225261621762
1171,126.71598316767265
1172,128.1786078149928
1173,129.1304945232299
1174,126.96485797147426
1175,127.53002245570477
1176,127.15754710216673
1177,127.29560034316826
1178,127.45631666236571
1179,124.699334101409
1180,122.56357338108751
1181,127.5603208722804
1182,122.25156907694355
1183,122.34616010977084
1184,122.24130237344608
1185,122.5589200739498
1186,122.24522176787266
1187,120.4232083619723
1188,121.18936788693414
1189,122.5885127992781
1190,125.2837949532658
1191,125.44919690389511
1192,123.35020192888454
1193,123.02879792834219
1194,122.72375149503219
1195,122.13130203449366
1196,122.76847231397709
1197,126.18570886267842
1198,126.13962136048212
1199,123.75790777174825
1200,124.30783725094042
1201,123.48132966213585
1202,123.55114939544353
1203,121.73301371165218
1204,124.30647291691248
1205,125.69081196443987
1206,122.08206863046286
1207,122.06749277582352
1208,122.35129877731393
1209,123.57878223485321
1210,123.34841683781663
1211,124.98001519764064
1212,122.38469090119345
1213,122.34532499172676
1214,123.5608046807529
1215,121.50895638623854
1216,120.54902381000933
1217,122.44265780132281
1218,121.12472952987493
1219,120.31722780231216
1220,120.1731587518697
1221,124.87667442452187
1222,123.32262621507401
1223,122.80202248115411
1224,124.395927506576
1225,124.40205430191824
1226,123.48890987044886
1227,122.14108671976155
1228,121.60135683103202
1229,122.47499832082013
1230,121.7927922268937
1231,121.1008543421181
1232,120.8719449534045
1233,120.04405446973009
1234,123.42413788561672
1235,120.79626713155301
1236,124.43996699308822
1237,122.73193172715297
1238,124.32376410059211
1239,120.91351157674265
1240,122.07127710677682
1241,122.35287857049295
